REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),A_not_determined,B,H3N2v,A (H5),CTR_A (2009 H1N1),CTR_A (H1),A (H3),CTR_A (Subtyping not Performed),CTR_A (Unable to Subtype),CTR_A_not_determined,CTR_B,CTR_H3N2v,CTR_A (H5)
National,X,2015,28,5039,1.70669,3,0,35,11,0,11,37,0,0,0.000595356,0,0.006945823,0.002182973,0,0.002182973,0.007342727,0,0
National,X,2015,29,4811,1.51736,2,0,31,19,0,19,21,0,0,0.000415714,0,0.006443567,0.003949283,0,0.003949283,0.004364997,0,0
National,X,2015,30,4785,1.5256,0,0,44,20,0,20,9,0,0,0,0,0.009195402,0.004179728,0,0.004179728,0.001880878,0,0
National,X,2015,31,4790,1.94154,4,0,50,21,0,21,18,0,0,0.000835073,0,0.010438413,0.004384134,0,0.004384134,0.003757829,0,0
National,X,2015,32,4910,1.64969,3,0,34,30,0,30,14,0,0,0.000610998,0,0.006924644,0.00610998,0,0.00610998,0.002851324,0,0
National,X,2015,33,5170,1.89555,2,0,55,25,0,25,16,0,0,0.000386847,0,0.010638298,0.00483559,0,0.00483559,0.003094778,0,0
National,X,2015,34,5381,1.85839,3,0,44,33,0,33,20,0,0,0.000557517,0,0.008176919,0.006132689,0,0.006132689,0.003716781,0,0
National,X,2015,35,6115,2.2731,3,0,64,43,0,43,29,0,0,0.000490597,0,0.010466067,0.007031889,0,0.007031889,0.004742437,0,0
National,X,2015,36,6786,2.18096,1,0,74,35,0,35,38,0,0,0.000147362,0,0.010904804,0.005157678,0,0.005157678,0.005599764,0,0
National,X,2015,37,7694,2.57343,4,0,91,56,0,56,47,0,0,0.000519886,0,0.011827398,0.007278399,0,0.007278399,0.006108656,0,0
National,X,2015,38,8855,1.88594,1,0,58,62,0,62,46,0,0,0.000112931,0,0.006549972,0.007001694,0,0.007001694,0.005194805,0,0
National,X,2015,39,9876,2.04536,7,0,77,59,0,59,59,0,0,0.000708789,0,0.007796679,0.005974079,0,0.005974079,0.005974079,0,0
