Week_Ending_Date,Midwest_WVAL,National_WVAL,Northeast_WVAL,South_WVAL,West_WVAL,date_updated
"2025-11-08","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2024-02-03","6.843308722146707","6.389576584822532","6.7731587057599665","6.005994463885098","5.2676148152460325","2026-04-02T07:12:03.016Z"
"2022-09-03","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2024-05-25","1.5503604612380797","1.351875576549327","1.1533906918605743","1.0","1.8679192117350922","2026-04-02T07:12:03.016Z"
"2025-10-25","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2024-01-20","5.120046251931191","7.129394767706319","8.733231324284171","7.062712215105647","7.1960773203069905","2026-04-02T07:12:03.016Z"
"2023-12-02","5.056667056122563","4.518914718857511","4.534890852793627","4.502938584921396","3.4035808899807947","2026-04-02T07:12:03.016Z"
"2024-08-03","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2025-08-09","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2026-02-21","4.6566863402184655","3.502913307326323","3.988934664645308","2.178318789934611","3.0168919500073383","2026-04-02T07:12:03.016Z"
"2025-08-16","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2026-03-14","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2023-07-15","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2023-11-25","2.336494836215317","2.9020106998794404","2.814675810213332","3.689748207556801","2.9893455895455485","2026-04-02T07:12:03.016Z"
"2024-12-28","6.563070209631311","7.8534450305312635","7.910176467368953","7.796713593693575","14.559757359576418","2026-04-02T07:12:03.016Z"
"2025-11-01","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2024-10-19","1.0","1.0","1.0","1.0","1.0","2026-04-02T07:12:03.016Z"
"2025-03-08","9.065753920901148","7.512830161839316","7.831261818639527","7.072847378964452","7.194398505039106","2026-04-02T07:12:03.016Z"
